qid,category,question,system_answer,gold_answer,evidence,verdict_mem0,verdict_mem0_4o,verdict_strict,verdict_mnemoverse,truth_label
39,multi_hop,In what ways is Caroline participating in the LGBTQ community?,"joined a new LGBTQ activist group last Tues, 'Connected LGBTQ Activists', regular meetings, plan events and campaigns, went to an LGBTQ+ pride parade, I went to a pride parade last Friday, Pride fest, LGBT pride event last month, I went to an LGBTQ conference two days ago, I'm going to a transgender conference this month, I went to an LGBTQ+ counseling workshop last Friday, It was a transgender poetry reading, I went to a LGBTQ support group yesterday, visited a LGBTQ center, Last weekend I joined a mentorship program for LGBTQ youth, I mentor a transgender teen, volunteer at an LGBTQ+ youth center, Next month I'm having an LGBTQ art show with my paintings, I use it to speak up for the LGBTQ+ community and push for acceptance, I talked about my transgender journey and encouraged students to get involved in the LGBTQ community, advocacy event","Joining activist group, going to pride parades, participating in an art show, mentoring program",D10:3; D5:1; D9:12; D9:2,1.0,1.0,0.0,1.0,
40,multi_hop,How many times has Melanie gone to the beach in 2023?,2,2,D10:8; D6:16,1.0,1.0,1.0,1.0,
41,temporal,When did Caroline join a new activist group?,2023-07-18,The Tuesday before 20 July 2023,D10:3,1.0,1.0,1.0,1.0,
43,multi_hop,What kind of art does Caroline make?,"painting, drawing, stained glass window",abstract art,D11:12; D11:8; D9:14,0.0,0.0,0.0,0.0,
45,temporal,When did Caroline attend a pride parade in August?,2023-08-11,The Friday before 14 August 2023,D11:4,1.0,1.0,1.0,1.0,
46,open_domain,Would Melanie be considered an ally to the transgender community?,Yes.,"Yes, she is supportive",,1.0,1.0,1.0,1.0,
47,multi_hop,Who supports Caroline when she has a negative experience?,"friends, family, mentors, people I looked up to, Melanie, LGBTQ support group","Her mentors, family, and friends",D12:1; D3:11,1.0,1.0,0.0,1.0,
49,temporal,When did Caroline and Melanie go to a pride fesetival together?,Last year,2022,D12:15,1.0,1.0,0.0,0.0,
50,open_domain,What would Caroline's political leaning likely be?,Liberal.,Liberal,D12:1,1.0,1.0,1.0,1.0,
51,multi_hop,What has Melanie painted?,"lake sunrise, sunset with a pink sky, sunset with a palm tree, sunflower, horse, abstract painting","Horse, sunset, sunrise",D13:8; D8:6; D1:12,1.0,1.0,0.0,1.0,
52,multi_hop,What are Melanie's pets' names?,"Luna, Oliver, Bailey","Oliver, Luna, Bailey",D13:4; D7:18,1.0,1.0,1.0,1.0,
53,temporal,When did Caroline apply to adoption agencies?,"23 August, 2023",The week of 23 August 2023,D13:1,1.0,1.0,0.0,1.0,
55,multi_hop,What subject have Caroline and Melanie both painted?,sunsets,Sunsets,D14:5; D8:6,1.0,1.0,1.0,1.0,
57,temporal,When did Caroline encounter people on a hike and have a negative experience?,2023-08-17,The week before 25 August 2023,D14:1,1.0,1.0,0.0,0.0,
58,temporal,When did Melanie make a plate in pottery class?,2023-08-24,24 August 2023,D14:4,1.0,1.0,0.0,1.0,
60,multi_hop,What instruments does Melanie play?,"clarinet, violin",clarinet and violin,D15:26; D2:5,1.0,1.0,1.0,1.0,
61,multi_hop,What musical artists/bands has Melanie seen?,Matt Patterson,"Summer Sounds, Matt Patterson",D15:16; D11:3,1.0,1.0,0.0,0.0,
63,temporal,When is Caroline's youth center putting on a talent show?,September 2023,September 2023,D15:11,1.0,1.0,1.0,1.0,
64,open_domain,"Would Melanie likely enjoy the song ""The Four Seasons"" by Vivaldi?","Yes — ""I'm a fan of both classical like Bach and Mozart.""",Yes; it's classical music,D15:28,1.0,1.0,0.0,1.0,
65,multi_hop,What are some changes Caroline has faced during her transition journey?,"my changing body, Some close friends kept supporting me, a few weren't able to handle it, Now my relationships feel more genuine, Realizing I can be me without fear, having the courage to transition, It's so freeing to express myself authentically, Finding self-acceptance was a long process","Changes to her body, losing unsupportive friends",D16:15; D11:14,1.0,1.0,0.0,1.0,
66,multi_hop,What does Melanie do with her family on hikes?,"hiking in the mountains, exploring forests, explored nature","Roast marshmallows, tell stories",D16:4; D10:12,0.0,0.0,0.0,0.0,
67,temporal,When did Caroline go biking with friends?,"Last weekend, 13 September, 2023",The weekend before 13 September 2023,D16:1,1.0,1.0,0.0,0.0,
68,temporal,How long has Melanie been practicing art?,Seven years — 2023-09-13,Since 2016,D16:8,1.0,1.0,0.0,1.0,
71,multi_hop,What book did Melanie read from Caroline's suggestion?,Charlotte's Web,"""Becoming Nicole""",D7:11; D17:10,0.0,0.0,0.0,0.0,
74,temporal,When did Melanie's family go on a roadtrip?,This past weekend (2023-10-14–2023-10-15),The weekend before 20 October 2023,D18:1,1.0,1.0,1.0,1.0,
75,multi_hop,How many children does Melanie have?,3,3,D18:1; D18:7,1.0,1.0,1.0,1.0,
76,multi_hop,When did Melanie go on a hike after the roadtrip?,yesterday,19 October 2023,D18:17,0.0,1.0,0.0,0.0,
77,open_domain,Would Melanie go on another roadtrip soon?,Yes.,Likely no; since this one went badly,D18:3; D18:1,0.0,0.0,0.0,0.0,
80,temporal,When did Melanie buy the figurines?,2023-10-21,21 October 2023,D19:2,1.0,1.0,1.0,1.0,
81,open_domain,Would Caroline want to move back to her home country soon?,No — she moved from Sweden 4 years ago and passed adoption agency interviews on 22 October 2023.,No; she's in the process of adopting children.,D19:1; D19:3,1.0,1.0,0.0,1.0,
82,single_hop,What did the charity race raise awareness for?,mental health,mental health,D2:2,1.0,1.0,1.0,1.0,
83,single_hop,What did Melanie realize after the charity race?,Self-care is really important.,self-care is important,D2:3,1.0,1.0,1.0,1.0,
85,single_hop,What are Caroline's plans for the summer?,"Transgender conference in July 2023, LGBTQ art show in August 2023, kids’ talent show in September 2023",researching adoption agencies,D2:8,0.0,0.0,0.0,0.0,
86,single_hop,What type of individuals does the adoption agency Caroline is considering support?,LGBTQ+ folks,LGBTQ+ individuals,D2:12,1.0,1.0,1.0,1.0,
88,single_hop,What is Caroline excited about in the adoption process?,make a family for kids who need one,creating a family for kids who need one,D2:14,1.0,1.0,1.0,1.0,
94,single_hop,What is Melanie's hand-painted bowl a reminder of?,art and self-expression,art and self-expression,D4:5,1.0,1.0,1.0,1.0,
96,single_hop,What kind of counseling and mental health services is Caroline interested in pursuing?,"Working with trans people, helping them accept themselves and supporting their mental health.","working with trans people, helping them accept themselves and supporting their mental health",D4:13,1.0,1.0,1.0,1.0,
97,single_hop,What workshop did Caroline attend recently?,an LGBTQ+ counseling workshop,LGBTQ+ counseling workshop,D4:13,1.0,1.0,1.0,1.0,
98,single_hop,What was discussed in the LGBTQ+ counseling workshop?,"Different therapeutic methods, how to best work with trans people.",therapeutic methods and how to best work with trans people,D4:13,1.0,1.0,1.0,1.0,
100,single_hop,What kind of place does Caroline want to create for people?,"a safe, inviting place for people to grow",a safe and inviting place for people to grow,D4:15,1.0,1.0,1.0,1.0,
101,single_hop,Did Melanie make the black and white bowl in the photo?,Yes.,Yes,D5:8,1.0,1.0,1.0,1.0,
102,single_hop,What kind of books does Caroline have in her library?,"kids' books, classics, stories from different cultures, educational books","kids' books - classics, stories from different cultures, educational books",D6:9,1.0,1.0,1.0,1.0,
103,single_hop,What was Melanie's favorite book from her childhood?,Charlotte's Web,"""Charlotte's Web""",D6:10,1.0,1.0,1.0,1.0,
104,single_hop,What book did Caroline recommend to Melanie?,Charlotte's Web,"""Becoming Nicole""",D7:11,0.0,0.0,0.0,0.0,
105,single_hop,"What did Caroline take away from the book ""Becoming Nicole""?",It made me feel connected and gave me a lot of hope for my own path.,Lessons on self-acceptance and finding support,D7:13,1.0,1.0,0.0,1.0,
106,single_hop,What are the new shoes that Melanie got used for?,Running.,Running,D7:19,1.0,1.0,1.0,1.0,
107,single_hop,What is Melanie's reason for getting into running?,A great way to destress and clear my mind.,To de-stress and clear her mind,D7:21,1.0,1.0,1.0,1.0,
108,single_hop,What does Melanie say running has been great for?,my headspace,Her mental health,D7:24,1.0,1.0,0.0,1.0,
109,single_hop,What did Mel and her kids make during the pottery workshop?,our own pots,pots,D8:2,1.0,1.0,1.0,1.0,
110,single_hop,What kind of pot did Mel and her kids make with clay?,A cup with a dog face on it.,a cup with a dog face on it,D8:4,1.0,1.0,1.0,1.0,
117,single_hop,How often does Melanie go to the beach with her kids?,once or twice a year,once or twice a year,D10:10,1.0,1.0,1.0,1.0,
118,single_hop,What did Melanie and her family see during their camping trip last year?,The Perseid meteor shower.,Perseid meteor shower,D10:14,1.0,1.0,1.0,1.0,
119,single_hop,How did Melanie feel while watching the meteor shower?,so at one with the universe,in awe of the universe,D10:18,1.0,1.0,0.0,1.0,
120,single_hop,Whose birthday did Melanie celebrate recently?,Her daughter’s.,Melanie's daughter,D11:1,1.0,1.0,1.0,1.0,
121,single_hop,Who performed at the concert at Melanie's daughter's birthday?,Matt Patterson,Matt Patterson,D11:3,1.0,1.0,1.0,1.0,
123,single_hop,What pet does Caroline have?,"Oscar, my guinea pig",guinea pig,D13:3,1.0,1.0,0.0,1.0,
124,single_hop,What pets does Melanie have?,"Luna, Oliver, Bailey",Two cats and a dog,D13:4,0.0,1.0,0.0,0.0,
125,single_hop,Where did Oliver hide his bone once?,In my slipper.,In Melanie's slipper,D13:6,1.0,1.0,0.0,0.0,
126,single_hop,What activity did Caroline used to do with her dad?,Horseback riding,Horseback riding,D13:7,1.0,1.0,1.0,1.0,
127,single_hop,What did Caroline make for a local church?,a stained glass window,a stained glass window,D14:17,1.0,1.0,1.0,1.0,
128,single_hop,What did Caroline find in her neighborhood during her walk?,a cool rainbow sidewalk for Pride Month,a rainbow sidewalk,D14:23,1.0,1.0,0.0,1.0,
129,single_hop,Which song motivates Caroline to be courageous?,"""Brave"" by Sara Bareilles",Brave by Sara Bareilles,D15:23,1.0,1.0,1.0,1.0,
131,single_hop,Who is Melanie a fan of in terms of modern music?,Ed Sheeran,Ed Sheeran,D15:28,1.0,1.0,1.0,1.0,
132,single_hop,How long has Melanie been creating art?,Seven years.,7 years,D16:7,1.0,1.0,1.0,1.0,
133,single_hop,What precautionary sign did Melanie see at the café?,a sign posted on a door stating that someone is not being able to leave,A sign stating that someone is not being able to leave,D16:16,1.0,1.0,0.0,1.0,
135,single_hop,What setback did Melanie face in October 2023?,Got hurt and had to take a break from pottery.,She got hurt and had to take a break from pottery.,D17:8,1.0,1.0,1.0,1.0,
137,single_hop,"What painting did Melanie show to Caroline on October 13, 2023?","a painting of a sunset with a pink sky, a painting on a wall with a blue background",A painting inspired by sunsets with a pink sky.,D17:12,1.0,1.0,0.0,0.0,
140,single_hop,What did the posters at the poetry reading say?,trans lives matter,"""Trans Lives Matter""",D17:19,1.0,1.0,1.0,1.0,
141,single_hop,What does Caroline's drawing symbolize for her?,freedom and being real,Freedom and being true to herself.,D17:23,1.0,1.0,0.0,1.0,
143,single_hop,What happened to Melanie's son on their road trip?,Got into an accident.,He got into an accident,D18:1,1.0,1.0,1.0,1.0,
145,single_hop,How did Melanie feel about her family after the accident?,They mean the world to me and I'm so thankful to have them.,They are important and mean the world to her,D18:5,1.0,1.0,0.0,1.0,
147,single_hop,How did Melanie feel after the accident?,really scared,Grateful and thankful for her family,D18:5,0.0,0.0,0.0,0.0,
148,single_hop,What was Melanie's reaction to her children enjoying the Grand Canyon?,"“Thankfully, they enjoyed the Grand Canyon a lot!”",She was happy and thankful,D18:5,1.0,1.0,0.0,1.0,
150,single_hop,How did Melanie feel about her family supporting her?,It’s awesome!,She appreciated them a lot,D18:13,1.0,1.0,0.0,1.0,
151,single_hop,What did Melanie do after the road trip to relax?,Camping.,Went on a nature walk or hike,D18:17,0.0,0.0,0.0,0.0,
